time to NEB,1i,1ii,2i,2ii,4i,4ii,5i,5ii,6,7i,7ii,8i,8ii,9,1i,1ii,2,3i,3ii,4i,4ii,5i,5ii,6,7i,7ii,8,9i,9ii,11i,11ii,13i,13ii,14i,14ii,1,2
-8700,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,
-8640,,,,,,,,,,,,,,,,,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,
-8580,,,,,,,,,,,,,,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,
-8520,,,,,,,,,,,,,,,,,,,,_blue_,_brown_r,,,,,,,,,,,,,,,,
-8460,,,,,,,,,,,,_blue_,_blueDark_g,,,,,,,_blue_,_blue_,,,,,,,,,,,,,,,,
-8400,,,,,,,,,,,,_blue_,_pink_,,,,,,,_blue_,_blueDark_r,,,_blue_,,,,,,,,,,,,,
-8340,,,,,,,,,,,,_blue_,_brown_r,,,,,,,_blue_,_blueDark_r,,,_blueDark_g,,,,,,,,,,,,,
-8280,,,,,,,,,,,,_blueDark_r,_brownDark_r,,,,,,,_blue_,_brownDark_r,,,_blue_,,,,,,,,,,,,,
-8220,,,,,,,,,,,,_blueDark_r,_pink_,,,,,,,_blue_,_blue_,,,_blue_,,,,,,,,,,,,,
-8160,,,,,,,,,,,,_blueDark_r,_blueDark_r,,,,,,,_blue_,_blue_,,,_blue_,,,_blue_,,,,,,,,,,
-8100,,,,,,,,,,,,_blue_,_pink_,,,,,,,_blue_,_blue_,,,_brownDark_r,,,_blueDark_r,,,,,,,,,,
-8040,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,,,,,,,_blue_,_brownDark_r,,,_brownDark_r,,,_blueDark_r,,,,,,,,,,
-7980,,,,,,,,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,,_blue_,_blueDark_r,,,_blueDark_g,,,_blue_,,,,,,,,,,
-7920,,,,,,,,,,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,,,,_blue_,_blueDark_r,,,_blue_,,,_blue_,,,,,,,,,,
-7860,,,,,,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,,,,,,_blue_,_blue_,,,_pink_,,,_brownDark_r,,,,,,,,,,
-7800,,,,,,,,,,_blue_,_blueDark_r,_blue_,_brownDark_r,,,,,,,_blue_,_brownDark_r,,,_blueDark_r,,,_blue_,,,,,,,,,,
-7740,,,,,,,,,,_blue_,_brownDark_r,_blue_,_brownDark_r,,,,,,,_blue_,_brown_r,,,_blueDark_r,,,_brown_r,,,,,,,,,,
-7680,,,,,,,,,,_blueDark_r,_brownDark_r,_blueDark_r,_brownDark_r,,,,,,,_blue_,_brown_r,,,_brownDark_r,,,_blueDark_r,,,,,_blueDark_r,_blue_,,,,
-7620,,,,,,,,,,_brown_r,_blueDark_r,_blue_,_blueDark_g,,,,,,,_blue_,_brownDark_r,,,_blueDark_r,,,_blueDark_r,,,,,_blueDark_g,_blueDark_r,,,,
-7560,,,,,,,,,,_blue_,_pink_,_blue_,_blueDark_g,,,,,,,_blueDark_r,_blueDark_r,,,_blueDark_r,,,_blue_,,,,,_blueDark_r,_blueDark_r,,,,
-7500,,,,,,,,,,_blue_,_blue_,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,_blue_,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-7440,,,,,,,,,,_blue_,_brownDark_r,_blue_,_blueDark_r,,,,,,,_blue_,_blue_,,,_blueDark_r,,,_blue_,,,,,_blueDark_r,_blueDark_r,,,,
-7380,,,,,,,,,,_blue_,_blueDark_r,_blue_,_brown_r,,,,,,,_blue_,_blue_,,,_brownDark_r,,,_blue_,,,,,_blueDark_r,_blueDark_r,,,,
-7320,,,,,,,,,,_blue_,_brownDark_r,_blue_,_blue_,,,,,,,_blueDark_r,_blue_,,,_pink_,,,_blueDark_r,,,,,_pink_,_blue_,,,,
-7260,,,,,,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,,,,_blueDark_r,_blue_,,,_blueDark_r,,,_blueDark_g,,,,,_brownDark_r,_blueDark_r,,,,
-7200,,,,,,,,,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,,,,,,,_brownDark_r,_blue_,,,_brownDark_r,,,_blueDark_r,,,,,_brown_r,_blue_,,,,
-7140,,,,,,,,,,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,,,,,,,_brownDark_r,_blue_,,,_brownDark_r,,,_blueDark_r,,,,,_brownDark_r,_blue_,,,,
-7080,,,,,,,,,,,_blue_,_blue_,_pink_,,,,,,,_brownDark_r,_blue_,,,_brownDark_r,,,_blue_,,,,,_blueDark_r,_blueDark_r,,,,
-7020,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_brown_r,,,_blueDark_g,,,_blue_,,,,,_blue_,_blue_,,,,
-6960,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_brown_r,,,_brownDark_r,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6900,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_pink_,,,_blueDark_r,,,_blueDark_g,,,,,_blue_,_blue_,,,,
-6840,,,,,,,,,,_brownDark_r,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_brownDark_r,,,_blueDark_r,,,_blue_,,,,,_blue_,_brown_r,,,,
-6780,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,,,,,,_brownDark_r,_brown_r,,,_blue_,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6720,,,,,,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,,,,,,_blue_,_brownDark_r,,,_brownDark_r,,,_blue_,,,,,_brownDark_r,_blue_,,,,
-6660,,,,,,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,,,_blue_,_pink_,,,_brownDark_r,,,_blue_,,,,,_pink_,_blue_,,,,
-6600,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,,,,,,_blue_,_brown_r,,,_blueDark_r,,,_blueDark_r,,,,,_blueDark_r,_blue_,,,,
-6540,,,,,,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,,,,,,_blue_,_brownDark_r,,,_blueDark_r,,,_blue_,,,,,_blue_,_pink_,,,,
-6480,,,,,,,,,,_blue_,_brownDark_r,_blue_,_blue_,_brownDark_r,,,,,,_blue_,_brownDark_r,,,_blueDark_r,,,_blueDark_r,,,,,_blueDark_r,_blueDark_r,,,,
-6420,,,,,,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,,,_blue_,_brownDark_r,,,_brownDark_r,,,_blueDark_r,,,,,_blue_,_blue_,,,,
-6360,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,,,_blue_,_brownDark_r,,,_brownDark_r,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6300,,,,,,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,,,,,,_blueDark_r,_blueDark_r,,,_blueDark_r,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6240,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,,,,_brownDark_r,_blueDark_r,,,_brownDark_r,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6180,,,,,,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,,,_blue_,,,_blue_,,,,,_blue_,_blueDark_r,,,,
-6120,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,,,,,,_blueDark_r,_brownDark_r,,,_blue_,,,_blueDark_r,,,,,_blue_,_blue_,,,,
-6060,,,,,,,,,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,,,,,,_brownDark_r,_blueDark_r,,,_blueDark_r,,,_blueDark_r,,,,,_blue_,_brown_r,,,,
-6000,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,,,_blueDark_r,_brownDark_r,,,_blue_,,,_brownDark_r,,,,,_blue_,_blue_,,,,
-5940,,,,,,,,,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,,,_blue_,,,_blueDark_r,,,,,_blue_,_blue_,,,,
-5880,,,,,,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_g,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,,,_blueDark_r,_pink_,_blueDark_r,_brownDark_r,,,,,_blue_,_blue_,,,,
-5820,,,,,,,,,,_blueDark_r,_blue_,_pink_,_blue_,_brown_r,,,,,,_blueDark_r,_blueDark_r,,,_brownDark_r,_blue_,_blueDark_r,_blue_,,,_pink_,_blueDark_r,_blue_,_blue_,,,,
-5760,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,,,,_blue_,_blueDark_r,,,,_blue_,_pink_,_blue_,,,_blueDark_g,_blueDark_r,_blueDark_r,_blueDark_r,,,,
-5700,,,,,,,,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,,_blue_,,,,_blue_,_blueDark_r,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,,,,
-5640,,,,,,,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,,
-5580,,,,,,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,,_blue_,,,,_blue_,_blueDark_r,,,,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_g,,,,
-5520,,,,,,,,,,_blue_,_blue_,_brownDark_r,_blue_,_blueDark_r,_blue_,_blue_,,,,_blue_,_brownDark_r,,,,_blueDark_r,_blue_,_brownDark_r,,,_brownDark_r,_pink_,_blue_,_blue_,,,,
-5460,,,,,,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_brownDark_r,,,_pink_,_blueDark_g,_blue_,_blue_,,,,
-5400,,,,,,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_brownDark_r,,,_blueDark_r,_pink_,_blue_,_blue_,,,,
-5340,,,,,,,,,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,,,,_blue_,_blue_,,,,_blue_,_blue_,_brownDark_r,,,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,,,,
-5280,,,,,,,_brown_r,_blue_,,,_brownDark_r,_brownDark_r,_blue_,_blue_,,_blueDark_g,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,
-5220,,,,,,,_blueDark_r,_blue_,,,_blue_,_blue_,_blueDark_r,_pink_,_brownDark_r,_blueDark_r,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,
-5160,,,,,,,_brown_r,_blue_,,,_blue_,_blue_,_blue_,_pink_,_blueDark_r,_blueDark_r,,,,_blue_,_blue_,,,,_blue_,_blueDark_r,_brownDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,
-5100,,,,,,,_brown_r,_blue_,,,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,_blueDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,
-5040,,,,,,,_brownDark_r,_blue_,,,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_pink_,,,,_blue_,_brownDark_r,,,,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_pink_,_blue_,_blue_,,,,
-4980,,,,,,,_blueDark_r,_blue_,,,,_blueDark_g,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_blue_,_blue_,,,,
-4920,,,,,,,_blue_,_blue_,,,,_blue_,_blue_,_blue_,_brownDark_r,_blue_,,,,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,_blueDark_g,,,,
-4860,,,,,,,_blue_,_blue_,,,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,_brownDark_r,_blue_,,,,_blueDark_g,_blue_,_blue_,,,_blue_,_brownDark_r,_blue_,_brownDark_r,,,,
-4800,,,,,,,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,,,,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,_brownDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,,,,
-4740,,,,,,,_blueDark_g,_blue_,,,_blueDark_r,_blueDark_g,_blue_,_blueDark_g,_brownDark_r,_blueDark_r,,,,_blue_,_blue_,,,,_brownDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blue_,_blue_,_blue_,,,,
-4680,,,,,,,_blueDark_g,_blue_,,,_blueDark_r,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,,_blueDark_r,_blue_,,,,_brownDark_r,_pink_,_brownDark_r,,,_blue_,_brownDark_r,_blue_,_blue_,,,,
-4620,,,,,,,_blue_,_blueDark_r,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_pink_,_blueDark_g,,,,_blueDark_r,_blueDark_r,,,,_brownDark_r,_brown_r,_blue_,,,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,
-4560,,,,,,,_blue_,_blueDark_r,,,_brownDark_r,_blue_,_brownDark_r,_blue_,_blueDark_r,_pink_,,,,_brownDark_r,_blueDark_r,,,,_blueDark_r,_brown_r,_blue_,,,_blueDark_r,_blue_,_blue_,_blue_,,,,
-4500,,,,,,,_brownDark_g,_blueDark_r,,,_brownDark_r,_blue_,_pink_,_blueDark_r,_brownDark_r,_blue_,,,,_blueDark_r,_blue_,,,,_blueDark_r,_brown_r,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,,,,
-4440,,,,,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_g,_blue_,,,,_blue_,_blue_,,,,_blue_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,,
-4380,,,,,_blueDark_r,_brownDark_r,_blueDark_g,_blueDark_r,,,,_blue_,_brownDark_r,_pink_,_blueDark_r,_blueDark_g,,,,_blueDark_r,_blue_,,,,_blueDark_r,_blueDark_r,_blueDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_g,,
-4320,,,,,_blueDark_r,_blueDark_r,_blueDark_g,_blue_,,,,_blue_,_pinkDark_,_blue_,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_g,,
-4260,,,,,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,,,,_blue_,_pinkDark_,_blue_,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,_pink_,,
-4200,,,,,_blueDark_r,_brownDark_r,_blueDark_g,_blueDark_r,,,,_blue_,_pink_,_blue_,_blue_,_blueDark_g,,,,_blueDark_r,_blue_,,,,_blueDark_r,_brownDark_r,_blueDark_r,,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_pink_,,
-4140,,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_pink_,_blue_,_blueDark_r,_blueDark_g,,,,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_brownDark_r,,
-4080,,,,,_blueDark_r,_blue_,_blueDark_g,_blue_,,,,_blue_,_pink_,_blueDark_r,_pink_,_blue_,,,,_blue_,_blue_,,,,_blue_,_blue_,_brownDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_g,_pink_,,
-4020,,,,,_blue_,_brown_r,_blue_,_blue_,,,,_blue_,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,_blue_,_blue_,,,,_blue_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,,
-3960,,,,,_brownDark_r,_brown_r,_blueDark_g,_blueDark_r,,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blue_,_blue_,_blueDark_r,,,,
-3900,,,,,_brown_r,_brown_g,_blue_,_blue_,,,,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_brown_r,,,_blue_,_blue_,_blueDark_g,_brownDark_r,,,,
-3840,,,,,_brown_r,_pink_,_blueDark_g,_blueDark_r,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brown_r,,,_blueDark_r,_blue_,_blue_,_blue_,,,,
-3780,,,,,_brownDark_r,_blueDark_r,_pink_,_blue_,,,_brownDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brown_r,,,_blueDark_r,_blue_,_blue_,_blue_,,,,
-3720,,,,,_brown_r,_blueDark_r,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,
-3660,,,,,_brownDark_r,_brownDark_r,_blueDark_r,_blue_,,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_blue_,_blue_,_brownDark_r,,,_blue_,_blue_,_blue_,_blue_,,,,
-3600,,,,,_brownDark_r,_brownDark_r,_brownDark_r,_blue_,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brown_r,,,_pink_,_blue_,_blue_,_blue_,,,,
-3540,,,,,_brownDark_r,_brownDark_r,_blue_,_blue_,,,,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brown_r,,,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,
